Label,Age,Region,Data,Core
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Mirs Bay,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
Port Shelter,Modern,East,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
SHK,Modern,South,Transect,Transect
Port Shelter,10cm,East,Core,East core
Port Shelter,10cm,East,Core,East core
Port Shelter,10cm,East,Core,East core
Port Shelter,10cm,East,Core,East core
Port Shelter,10cm,East,Core,East core
Port Shelter,10cm,East,Core,East core
SHK,10cm,South,Core,South core
SHK,10cm,South,Core,South core
SHK,10cm,South,Core,South core
SHK,10cm,South,Core,South core
SHK,10cm,South,Core,South core
SHK,10cm,South,Core,South core
Mirs Bay,10cm,East,Core,East core
Mirs Bay,10cm,East,Core,East core
Mirs Bay,10cm,East,Core,East core
Mirs Bay,10cm,East,Core,East core
Mirs Bay,10cm,East,Core,East core
Mirs Bay,10cm,East,Core,East core
Mirs Bay,10cm,East,Core,East core
mirs Bay,10cm,East,Core,East core
SHK,10cm,South,Core,South core
SHK,10cm,South,Core,South core
SHK,10cm,South,Core,South core
SHK,10cm,South,Core,South core
Mirs Bay,10cm,East,Core,East core
Mirs Bay,10cm,East,Core,East core
Port Shelter,10cm,East,Core,East core
Port Shelter,bottom,East,Core,East core
Port Shelter,bottom,East,Core,East core
Port Shelter,bottom,East,Core,East core
Port Shelter,bottom,East,Core,East core
Port Shelter,bottom,East,Core,East core
Port Shelter,bottom,East,Core,East core
SHK,bottom,South,Core,South core
SHK,bottom,South,Core,South core
SHK,bottom,South,Core,South core
SHK,bottom,South,Core,South core
SHK,bottom,South,Core,South core
SHK,bottom,South,Core,South core
SHK,bottom,South,Core,South core
Mirs Bay,bottom,East,Core,East core
Mirs Bay,bottom,East,Core,East core
Mirs Bay,bottom,East,Core,East core
Mirs Bay,bottom,East,Core,East core
Mirs Bay,bottom,East,Core,East core
Mirs Bay,bottom,East,Core,East core
Mirs Bay,bottom,East,Core,East core
Mirs Bay,bottom,East,Core,East core
mirs Bay,bottom,East,Core,East core
SHK,bottom,South,Core,South core
SHK,bottom,South,Core,South core
SHK,bottom,South,Core,South core
SHK,bottom,South,Core,South core
Mirs Bay,bottom,East,Core,East core
Mirs Bay,bottom,East,Core,East core
Port Shelter,bottom,East,Core,East core